page_url	image_url	author	title	annotation	genre
https://www.biblio-globus.ru/product/10887179	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10887179.jpg	Чапек К.	Человек, который умел летать	В книгу классика чешской литературы, знаменитого сатирика и фантаста Карела Чапека (1890-1938) вошли два фантастических романа - Фабрика Абсолюта (1922) и Кракатит (1924) и десять фантастических рассказов, прекрасно...	Классическая литература
https://www.biblio-globus.ru/product/10887654	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10887654.jpg	Флобер Г. 	Госпожа Бовари	"Гюстав Флобер вошел в мировую литературу как создатель объективного романа, когда автор остается бестрасстным наблюдателем и не навязывает читателю своих оценок. Госпожа Бовари - блестящее тому подтверждение.
Роман Госпожа..."	Классическая литература
https://www.biblio-globus.ru/product/10886918	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10886918.jpg	Гюго В. 	Последний день приговоренного к смерти	"В камере смертников ждет своего последнего дня человек, который прекрасно знает: больше надеяться ему не на что. Но пока он еще живет. Мыслит. Чувствует. Вспоминает...
Виктор Гюго, активный противник смертной казни, пошел ради..."	Классическая литература
https://www.biblio-globus.ru/product/10885654	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10885654.jpg	Петроний 	Сатирикон	"Петроний Арбитр (ок. 14 — 66 гг.) -  автор древнеримского романа «Сатирикон», обычно отождествляемый с сенатором Петронием, о котором писал Тацит.

«Сатирикон» Петрония, являющийся одним из самых оригинальных произведений..."	Классическая литература
https://www.biblio-globus.ru/product/10882296	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10882296.jpg	Стейнбек Дж. 	К востоку от Эдема	"Шедевр «позднего» Джона Стейнбека. «Все, что я написал ранее, в известном смысле было лишь подготовкой к созданию этого романа», – говорил писатель о своем произведении. 
Роман, который вызвал бурю возмущения консервативно..."	Классическая литература
https://www.biblio-globus.ru/product/10880370	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10880370.jpg	Пушкин А.С. 	Полное собрание стихотворений в одном томе	А.С. Пушкин (1799 -1837) – величайший русский поэт, достигший в своем творчестве необыкновенной легкости, изысканности и точности выражения мысли. Его перу было подвластно все: философская, гражданская, любовная лирика, переводы,...	Классическая литература
https://www.biblio-globus.ru/product/10879522	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10879522.jpg		Блок без глянца	Современники поэта поставили Александра Блока на пьедестал и не переставали им восхищаться. И далеко не все рассмотрели в нем «страстно-бесстрастного» героя времени. Те же, кому открылся внутренний мир Блока, сохранили о поэте и...	Классическая литература
https://www.biblio-globus.ru/product/10879463	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10879463.jpg	Драйзер Т. 	Финансист	Финансист - первая часть знаменитой Трилогии желания Теодора Драйзера, в основу которой положена история жизни американского миллионера Чарльза Йеркса, сыгравшего значительную роль в разработке системы общественного...	Классическая литература
https://www.biblio-globus.ru/product/10878287	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10878287.jpg	Цвейг С. 	Смятение чувств	В этот сборник вошли очень разные по стилю и содержанию произведения, в том числе «Смятение чувств», «Закат одного сердца», «Незримая коллекция» и «Легенда о третьем голубе». Это и классические новеллы, и изысканные легенды, и...	Классическая литература
https://www.biblio-globus.ru/product/10878800	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10878800.jpg	Сабатини Р. 	Приключения капитана Блада	"Питер Блад.
Любимый герой Сабатини и одна из ярчайших звезд в истории жанра «плаща и шпаги».
Благородный пират, на приключениях которого выросли и продолжают расти поколения мальчишек по всему миру.
Ирландский врач, сосланный за..."	Классическая литература
https://www.biblio-globus.ru/product/10876341	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10876341.jpg	Пикуль В.С.	На задворках Великой империи Кн.2	В романе рассказано о судьбе высокопоставленного российского чиновника прогрессивных убеждений Сергея Яковлевича Мышецкого (прототип — князь Урусов), получившего в 1904 году пост вице-губернатора в Уренской губернии...	Классическая литература
https://www.biblio-globus.ru/product/10876340	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10876340.jpg	Пикуль В.С.	На задворках Великой империи Кн.1	В романе рассказано о судьбе высокопоставленного российского чиновника прогрессивных убеждений Сергея Яковлевича Мышецкого (прототип — князь Урусов), получившего в 1904 году пост вице-губернатора в Уренской губернии...	Классическая литература
https://www.biblio-globus.ru/product/10877050	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10877050.jpg	Грин А.С. 	Алые паруса	В шестнадцать лет Александр Грин ( Александр Степанович Гриневский (1880- 1932) решил стать моряком: бродяжничал, голодал, путешествовал на корабле, затем разделял революционные взгляды, был арестован, даже сослан, а впоследствии...	Классическая литература
https://www.biblio-globus.ru/product/10874566	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10874566.jpg	Хаггард Г.	Копи царя Соломона	Аллан Квотермейн, уважаемый на юге Африки охотник на слонов, встречает двух джентльменов на пароходе, следующем из Кейптауна в Дурбан. Один из них, Генри Куртис, очень рад этой встрече - ведь Квотермейн знаком с его младшим...	Классическая литература
